"x","y"
-9.93879240405347,-1.78121966982451
-9.51056274108677,-1.31352012392649
-9.0416011572372,-1.34589707494354
-8.46620969285834,-1.67971985091107
-7.76352497627072,-1.88422145067124
-7.60364568304448,-1.6733723766984
-6.96847123770221,-1.82221924825887
-6.96847123770221,-1.81383738452007
-6.96847123770221,-2.30243022602031
-6.92049009958282,-1.66165440568747
-6.42218559681039,-1.38543738028993
-5.7347188016311,-1.38999526397268
-5.66462317481637,-1.12099060852938
-5.17517609555008,-1.70615342794394
-4.46741907857358,-2.15593848295331
-4.13685472416026,-1.71238879306395
-3.57656979090756,-1.56771168130958
-2.95701787119643,-1.36409691335115
-2.8498509093853,-1.69165074814739
-2.19188434049665,-1.5360920016649
-1.74681795528159,-1.84383804573796
-1.5838759204018,-2.3631811791305
-1.55213050078601,-2.23913908883167
-1.1013112883527,-1.42420114507785
-0.96795923775062,-1.78127824535755
-0.521848690696061,-2.19813754915176
-0.0419344534609644,-2.21170023463005
0.125983029027425,-2.27608860018549
0.945358496225838,-1.9483083909101
0.984648021292828,-2.06724895453315
1.67642451013394,-2.26004749312797
2.32582416063884,-1.59246463019863
2.47666121482672,-1.94535926391572
3.13769688497164,-1.69388935622705
3.33361009601504,-2.02511515982077
3.39954576078093,-1.85506009495869
4.25372224201315,-1.54518978399499
4.42492851710302,-1.64064286231849
4.42492851710302,-1.56097568807446
4.42492851710302,-2.39134908270241
4.88974502010803,-1.75556183471766
5.39755630672776,-1.82447344590981
5.81716386235452,-1.92434444979108
6.24426103263561,-1.85628253562847
7.07958622236869,-1.0963059333704
7.24029280710965,-1.45146490040676
7.48810045875697,-1.59480879826368
7.48810045875697,-1.26971909851328
7.48810045875697,-1.7150758370135
8.06469576000901,-1.43803034942325
8.5346484204222,-0.983219516712513
8.5346484204222,-1.51706663656344
8.5346484204222,-1.65702509239724
8.62368753213169,-1.56954393032497
8.62368753213169,-1.72029496814108
8.62368753213169,-1.32925735947525
8.83329523494467,-1.27742460613984
9.20417851036681,-1.06556306344726
9.87308232291114,-0.679649282071909
9.96251401025802,-0.784414273238681
