"run","MSE","NLPD","Coverage","Width","Time"
1,1.73706971751334,6.80030137745524,0.48,1.02772368040394,0.390000000000327
2,1.60450524064743,6.42842406660065,0.35,1.18338721380351,0.229999999999563
3,1.64509050520223,7.19312477110073,0.51,0.980827929165529,0.100000000000364
4,1.75347663366712,5.69561393228327,0.59,1.09868898639924,0.110000000000582
5,1.67564417649148,8.27586033961598,0.42,0.899343208363491,0.089999999999236
6,1.69553926964494,5.81486486922673,0.48,1.09981522524366,0.069999999999709
7,1.73082062443555,6.16170142302113,0.42,1.07054830071772,0.100000000000364
8,1.74625577539401,4.61228848435123,0.48,1.31960792581876,0.0799999999999272
9,1.70883460629474,6.68686717542757,0.54,1.06292863522183,0.0900000000001455
10,1.64968078403751,6.09070297347532,0.52,1.07112102978515,0.100000000000364
11,1.59746084936776,6.16178017811168,0.49,1.18176028888546,0.089999999999236
12,1.6394465658712,5.94842753287878,0.47,1.13079690558443,0.0799999999999272
13,1.77629769392335,5.88628888887116,0.5,1.11137098013501,0.140000000000327
14,1.62649473519096,6.55386893910954,0.53,1.06552540968739,0.0999999999994543
15,1.56438296040782,6.94191701253647,0.38,1.09550024129316,0.0900000000001455
16,1.68246232182317,5.72602636033651,0.61,1.03845435542421,0.100000000000364
17,1.69592728487287,6.41124694248186,0.45,0.954621081070945,0.0900000000001455
18,1.77288810199631,6.17696342934406,0.64,1.02239647059202,0.109999999999673
19,1.74281878334978,5.18707808031171,0.48,1.13351554933059,0.100000000000364
20,1.7139110233695,6.4348356074214,0.44,1.16735671982098,0.0799999999999272
21,1.63822002166918,6.36858253046623,0.43,1.11440006907757,0.0799999999999272
22,1.66822331197159,5.53807501711508,0.53,1.19645531313837,0.0700000000006185
23,1.63221075538967,5.89763746043023,0.41,1.10620522942585,0.100000000000364
24,1.59853340427287,7.34538737526169,0.43,1.0048175029062,0.0799999999999272
25,1.68198983806907,6.75300425332315,0.43,0.969188270753141,0.0900000000001455
