"run","MSE","NLPD","Coverage","Width","Time"
1,0.00642258297555279,-1.04920424513226,1,0.477979010107836,0.109999999999673
2,0.00399163167731142,-1.11641027163134,1,0.496213715098325,0.0700000000006185
3,0.00348211834287349,-1.16491016320198,1,0.454499992610706,0.110000000000582
4,0.00372376766740514,-1.15713979647796,1,0.444894471669999,0.100000000000364
5,0.00897679528311292,-0.814620129361254,1,0.456084446171238,0.1299999999992
6,0.0135622450659386,-0.743450094866665,0.98,0.459162721746772,0.089999999999236
7,0.00473390930915042,-0.97469941467995,1,0.464343684365644,0.109999999999673
8,0.00577770191303496,-1.12443491871878,1,0.442483540958337,0.110000000000582
9,0.00489665302261962,-0.925457913034834,0.97,0.461789827498066,0.119999999999891
10,0.00855444586241135,-1.02077211654932,1,0.488202400456383,0.0799999999999272
11,0.00755263287185543,-0.649610405860339,0.88,0.442745674844368,0.100000000000364
12,0.00580783066735074,-1.09173095224115,1,0.476178051019843,0.109999999999673
13,0.00287427220716465,-1.15231495666402,1,0.433809268625571,0.110000000000582
14,0.0018133997003621,-1.14988244812824,1,0.482525348172825,0.0900000000001455
15,0.000612227956627187,-1.20710185699479,1,0.480744551792994,0.069999999999709
16,0.00237088419717936,-1.16982981707293,1,0.456186414453242,0.119999999999891
17,0.0028010585255862,-1.11013626796334,1,0.467675360125819,0.119999999999891
18,0.00357004635686976,-1.12118264593889,1,0.455255825980382,0.100000000000364
19,0.00821312656013005,-0.876051033559624,1,0.454983450939573,0.109999999999673
20,0.007458784681383,-0.936080013479217,1,0.453583516162241,0.0600000000004002
21,0.00743508214722564,-0.968953219652563,0.96,0.467381761363752,0.119999999999891
22,0.00863671286940605,-1.14582764537235,1,0.432260137609759,0.109999999999673
23,0.00910408913652801,-0.978313716379657,1,0.443536091508633,0.0900000000001455
24,0.00747356235351764,-1.1475668751299,1,0.450974870119215,0.109999999999673
25,0.00970460686826248,-0.699396124016166,0.88,0.484178246010387,0.0999999999994543
