"run","MSE","NLPD","Coverage","Width","Time"
1,0.0264084937847412,-0.302750974196907,0.9,0.741325313644826,0.130000000000109
2,0.056212589167859,0.165196338517705,0.74,0.634398717965471,0.130000000000109
3,0.0105246794715766,-0.693039753945917,1,0.690837287437947,0.119999999999891
4,0.0127550932998226,-0.685329486614739,1,0.697480758890013,0.119999999999891
5,0.0148918028685458,-0.628353683930498,1,0.740572040334657,0.119999999999891
6,0.00725171458914637,-0.766960894725815,1,0.68679371939331,0.1200000000008
7,0.0148693725210973,-0.681988559461219,1,0.70858406127746,0.109999999999673
8,0.0162387956321934,-0.477407306852024,1,0.849136643783378,0.159999999999854
9,0.0143745843963312,-0.547213479971081,1,0.636570671579367,0.170000000000073
10,0.0278344132093234,-0.492913613247567,1,0.712241283400445,0.130000000000109
11,0.0129469232143204,-0.750140016599105,1,0.626045307263528,0.139999999999418
12,0.0640835777199415,0.0525946078336547,0.75,0.667567359446712,0.1200000000008
13,0.0151747316131243,-0.644119578439537,1,0.675659858353123,0.119999999999891
14,0.0563574340865582,0.287426504547895,0.78,0.704624763725517,0.130000000000109
15,0.048560957678091,-0.0120524126704879,0.88,0.740862194662812,0.130000000000109
16,0.0177401808730247,-0.592441496882431,1,0.721518300780929,0.140000000000327
17,0.0197741317084995,-0.489653603111711,1,0.731946792989276,0.139999999999418
18,0.0265450617167107,-0.406727842052824,0.94,0.601377436051331,0.1299999999992
19,0.0293082838676768,-0.445091611661953,1,0.685649826662737,0.179999999999382
20,0.0304818092512468,-0.353876837023357,1,0.827414846352489,0.109999999999673
21,0.0203215805952306,-0.582951373280556,1,0.722874758604462,0.110000000000582
22,0.0181155448023129,-0.519137264192821,1,0.655811120013071,0.159999999999854
23,0.0466764253213636,0.0950924386251092,0.77,0.612651220769906,0.109999999999673
24,0.0219728201614323,-0.398086293569099,1,0.728577801475868,0.119999999999891
25,0.0185477166324018,-0.553661260191356,1,0.674232017197381,0.140000000000327
