"run","MSE","NLPD","Coverage","Width","Time"
1,0.0250463376303702,-0.991087267026177,0.9,0.259813380513074,66.5745255
2,0.00642211054484411,-1.54054804600754,0.99,0.258280250683945,59.033856
3,0.0167854927819891,-1.13855302474179,0.98,0.29566290686761,58.1833967
4,0.0106981068183253,-1.05535622806325,0.91,0.27353021454131,53.1884195
5,0.0333656143726241,-0.559345746320668,0.87,0.332728309399451,52.2447875
6,0.0131111346132771,-1.29600022952407,0.92,0.257254023901036,37.0542259
7,0.00816268826496641,-0.774529828194855,0.73,0.235343757704071,56.9694732
8,0.00873179897361876,-1.18105501059908,0.94,0.295644895109689,57.7338263
9,0.0190578373760935,-0.990913585276857,0.95,0.322940602071793,43.699409
10,0.023028119635058,-0.730325526863285,0.84,0.301282792074165,43.7207986
11,0.0175474852507876,-1.17612658757395,0.92,0.266149764855018,58.1510375
12,0.0125679703329252,-1.04402133318768,0.87,0.26017024172878,37.084327
13,0.0147269771541371,-1.21225760296418,0.98,0.342711278746403,77.9697213
14,0.0106458760510168,-0.958696072851552,0.89,0.278468195104956,50.6180554
15,0.0176467387879388,-1.06960337590205,0.94,0.292011232041849,50.4297003
16,0.0101277331527493,-1.34651882708051,0.99,0.283515320146949,50.9949303
17,0.0258829236825615,-0.766201148949568,0.78,0.292395398219937,44.5723177
18,0.0160849408155102,-1.28355884360201,0.92,0.275696846164778,51.5943811
19,0.00995624600971302,-1.10612475002628,0.86,0.220552386848978,50.2185387
20,0.013266159116956,-0.432046858040879,0.72,0.245640422022769,57.4190017
21,0.0120773686139183,-0.900859440813615,0.87,0.273590452831275,57.11365
22,0.0162212027997982,-0.449675179569346,0.79,0.317355626054628,57.2498491
23,0.00910688430803685,-1.3412307393126,0.93,0.246746458581997,50.2580081
24,0.020591841566497,-1.10538622929398,0.95,0.319343719278695,50.3211991
25,0.0282714332042625,-0.938231553797528,0.92,0.305177969401426,50.3714439
