"run","MSE","NLPD","Coverage","Width","Time"
1,0.071181603624313,0.383634844903623,0.71,0.710567660162775,22.1057884
2,0.0807678593537852,0.869827734530563,0.59,0.598514595512726,21.909072
3,0.0591314443256182,0.263713990107857,0.82,0.617527354573983,35.6696022
4,0.0324546523256077,-0.223264847735153,0.91,0.666681969783323,54.3614985
5,0.0768725987745195,0.492343210170123,0.79,0.710272853758393,29.0487014
6,0.0585055724868856,0.273629654845047,0.84,0.703469722780229,28.9324758
7,0.079594418724249,0.616531821494772,0.77,0.651868938623859,28.8630144
8,0.0697232270749006,0.135447844018338,0.85,0.804817800749745,41.9210992
9,0.0594213627912744,0.637110680522207,0.7,0.580237000217559,35.4671145
10,0.0819964282087753,0.518067326119817,0.76,0.644270331643906,35.395694
11,0.0662506870577201,0.60371207896698,0.73,0.549825455214184,22.4687807
12,0.134539332961289,1.23493014709328,0.63,0.675204584085803,29.1357119
13,0.0620973839241487,0.273046583893836,0.84,0.662474785826813,35.5168278
14,0.0944131227117475,1.02645327852338,0.8,0.698297539937099,35.5767416
15,0.120334684240188,1.03291973335783,0.75,0.690113478692103,29.2926527
16,0.0534909675160352,0.263602926047519,0.8,0.651580606966644,35.615144
17,0.0703128240036677,0.422406969039373,0.73,0.657680563190895,36.292982
18,0.0645847656622465,1.34091194550462,0.58,0.475408849883122,41.8646998
19,0.0713157458180986,0.490657591625435,0.71,0.603157708272864,23.3398757
20,0.100725052743738,0.599277214233815,0.84,0.77220776053516,29.4225931
21,0.0428916584051697,-0.0419701098943479,0.87,0.673400826380911,16.757966
22,0.0579575551403346,0.413983682372467,0.85,0.629887392007322,36.4755084
23,0.0839626792971352,2.32658520846448,0.57,0.476313061295634,29.7250374
24,0.0691569540401443,0.383440669322277,0.83,0.693771734240989,21.9700286
25,0.123371176342078,1.04028115131095,0.73,0.646082788953499,35.2205281
