"run","MSE","NLPD","Coverage","Width","Time"
1,0.118679477201579,0.778042311849311,0.88,0.292047714210305,20.0799999999999
2,0.0747676262579137,0.525382929264744,0.85,0.312064181461944,20.25
3,0.116703610973151,0.451845078649676,0.89,0.322704939574746,20.1099999999997
4,0.0998214487572184,0.476965121547255,0.87,0.26748143787453,20.9200000000001
5,0.110106482267915,0.370802371502561,0.84,0.296678444474527,20.5500000000002
6,0.0372100353934792,-0.473811039835422,0.86,0.33453565066391,23.25
7,0.0812280541159542,0.510958342337202,0.7,0.341987061482477,25.1199999999999
8,0.0226148711310061,-0.865845438248638,0.92,0.310155191840305,23.5
9,0.0514660677496634,-0.881196660066234,0.91,0.321055604883114,20.6199999999999
10,0.0767507469963979,0.103337566049182,0.79,0.352648494659211,20.7200000000003
11,0.137149331312594,2.08641680927305,0.82,0.335362460701576,25.75
12,0.0318168215957835,-0.770234689627633,0.86,0.293024301205792,20.4900000000007
13,0.0870800316405168,-0.448563923068198,0.94,0.3233602689642,20.5799999999999
14,0.0725746509953031,-0.05737897298495,0.88,0.373245120550959,24.1400000000003
15,0.0503588895433631,-0.666670068592859,0.93,0.310240826514495,24.04
16,0.0383134974261283,-1.0537181519227,0.91,0.319587959390264,20.3699999999999
17,0.0780468633178527,-0.543095156439751,0.92,0.328405500011347,20.29
18,0.0468701804180928,-0.888629459647268,0.94,0.321823470680954,23.9200000000001
19,0.0323154398682184,-0.822062793367394,0.85,0.309260291681576,24.3600000000006
20,0.0337037177946064,0.0195463772244379,0.73,0.296507956350374,20.9200000000001
21,0.0512192873606621,-0.473660611701531,0.86,0.301638651730102,20.9499999999998
22,0.0258951131479513,-0.756236310936414,0.91,0.338193244305628,20.8199999999997
23,0.0513785965599824,-0.742300761966706,0.9,0.282958823966336,20.8599999999997
24,0.0655279076338819,-0.718154177465488,0.92,0.330467390144901,20.5699999999997
25,0.133485830980844,1.00184913940028,0.77,0.294899597344084,20.7699999999995
