"metric","pair","test","p","effect","effect_name","p_holm"
"MSE","CGP vs BF","paired t",2.00895033493216e-36,-27.8756775420624,"Cohen_dz",6.02685100479648e-36
"MSE","SR vs BF","paired t",2.66140912864893e-34,-22.7338583544193,"Cohen_dz",5.32281825729787e-34
"MSE","CGP vs SR","paired t",1.19854140053041e-08,-1.68870442265925,"Cohen_dz",1.19854140053041e-08
"NLPD","CGP vs BF","paired t",6.18444368253559e-26,-10.1515736402897,"Cohen_dz",1.85533310476068e-25
"NLPD","SR vs BF","paired t",1.47949728246852e-22,-7.31086059507842,"Cohen_dz",2.95899456493705e-22
"NLPD","CGP vs SR","Wilcoxon signed-rank",2.69903587863338e-05,0.842186338083383,"rank_biserial_r",2.69903587863338e-05
"Coverage","SR vs BF","paired t",1.2676920139491e-18,4.96402971228231,"Cohen_dz",3.80307604184731e-18
"Coverage","CGP vs BF","paired t",2.18828162503048e-17,4.38633817458848,"Cohen_dz",4.37656325006096e-17
"Coverage","CGP vs SR","Wilcoxon signed-rank",0.00467398671820199,0.568430725748974,"rank_biserial_r",0.00467398671820199
"Width","SR vs BF","paired t",8.13723844362157e-24,-8.26526232461161,"Cohen_dz",2.44117153308647e-23
"Width","CGP vs BF","paired t",3.63967660251455e-23,-7.75815821034969,"Cohen_dz",7.2793532050291e-23
"Width","CGP vs SR","paired t",6.28846867195475e-05,-0.967370336850153,"Cohen_dz",6.28846867195475e-05
"Time","CGP vs BF","paired t",9.08521569936116e-21,6.13648806911651,"Cohen_dz",2.72556470980835e-20
"Time","CGP vs SR","paired t",3.77836485982128e-15,3.49333088335172,"Cohen_dz",7.55672971964255e-15
"Time","SR vs BF","Wilcoxon signed-rank",1.30706054780131e-05,0.874474632195206,"rank_biserial_r",1.30706054780131e-05
