"run","MSE","NLPD","Coverage","Width","Time"
1,1.86353485274757,3.8291284883494,0.49,1.48957708924959,0.0900000000000034
2,2.27366430880426,5.47444825199407,0.42,1.36328970105977,0.0900000000000034
3,1.68183318515706,4.71112232823282,0.55,1.46656095499726,0.0799999999999841
4,1.63924047875237,5.28906476989313,0.38,1.25305406057175,0.110000000000014
5,1.7440297290099,3.92974875457193,0.49,1.38839387065627,0.0699999999999932
6,1.9267634748593,5.7734506526994,0.63,1.02748330979702,0.0900000000000318
7,1.71610290402552,3.74143189908238,0.48,1.47108954763655,0.0799999999999841
8,1.64825833566711,4.93935299952855,0.62,1.35952375655621,0.0799999999999841
9,2.02597083588059,4.98632840725627,0.56,1.44231345606831,0.089999999999975
10,1.74631335460987,4.97859498783631,0.57,1.29582588877355,0.0699999999999932
11,1.76611466748347,5.75370120457058,0.62,1.43199710549459,0.0900000000000318
12,2.45188497790088,4.59024347669741,0.69,1.19511841286501,0.110000000000014
13,1.79856915719759,4.27498730413128,0.64,1.23086204440498,0.089999999999975
14,2.14983907817148,6.33861803752283,0.5,1.01971093135314,0.109999999999957
15,1.60722591577227,3.23087560749911,0.64,1.66724951909668,0.0799999999999841
16,2.2183486501825,5.91341131195136,0.61,1.03450060422594,0.089999999999975
17,1.88136876300003,3.55164998392576,0.48,1.50599983713269,0.100000000000023
18,2.24486858594515,8.11505739477961,0.63,1.01587848149128,0.110000000000014
19,2.18497441156919,6.29130390691912,0.65,1.01046637799617,0.129999999999995
20,2.23396029620097,4.52352935352691,0.69,1.32624638265862,0.0800000000000409
21,2.23089213805465,4.50319112702083,0.71,1.37283271653295,0.100000000000023
22,1.81963216488053,5.33232995041893,0.53,1.17366150105372,0.07000000000005
23,1.67924732302324,5.19005228007208,0.42,1.44805302541095,0.100000000000023
24,1.99312338023495,5.05439402767327,0.42,1.31185227596274,0.100000000000023
25,2.02344552654584,4.4746062109783,0.39,1.02581312879237,0.0799999999999272
