"run","MSE","NLPD","Coverage","Width","Time"
1,0.0264847535218298,-0.304821052152019,0.91,0.723130028515636,0.139999999999873
2,0.0568162286028106,0.182171743187623,0.74,0.642657183533575,0.1400000000001
3,0.00958823187740868,-0.691170552701276,1,0.689017099201858,0.120000000000118
4,0.0134342494221852,-0.676791946083161,1,0.698017921876369,0.129999999999882
5,0.0163622444470257,-0.602405829427961,1,0.750218123955797,0.119999999999891
6,0.00727567469689362,-0.788782160455,1,0.678981775512614,0.129999999999882
7,0.0136849677864065,-0.696487631076054,1,0.716849979111029,0.1099999999999
8,0.0177807646522672,-0.449797595809943,1,0.852419361975392,0.130000000000109
9,0.0138990092134475,-0.566344118013376,1,0.646151461849713,0.130000000000109
10,0.0310461100956537,-0.461866134055048,1,0.726597569957818,0.1099999999999
11,0.0133249160286607,-0.743249548047696,1,0.624089923476307,0.1400000000001
12,0.0657164453988811,0.131555951056413,0.73,0.668729213996431,0.129999999999882
13,0.0153029847595187,-0.627174454308122,1,0.685265201520733,0.1400000000001
14,0.0579286147845312,0.295771728330208,0.78,0.69412635274971,0.119999999999891
15,0.0493074552143803,-0.00619848326788581,0.9,0.75133982115135,0.1099999999999
16,0.0175083122151438,-0.62159760455977,1,0.701264399336813,0.1400000000001
17,0.0205580192124463,-0.461591313056367,1,0.740016190640433,0.120000000000118
18,0.0257149790813163,-0.408582542703229,0.93,0.614576640838337,0.120000000000118
19,0.0299605884858391,-0.447366918508217,1,0.686569216360677,0.120000000000118
20,0.0316337686325249,-0.34547007176863,1,0.812477635513665,0.110000000000127
21,0.0216185156483982,-0.541667290442259,1,0.759412385787217,0.100000000000136
22,0.0168333536312182,-0.53128921271332,0.98,0.636420053007857,0.160000000000082
23,0.0477047531346174,0.128945816257346,0.77,0.61803076073073,0.1099999999999
24,0.0216979310071487,-0.396000173807105,1,0.725707727597862,0.129999999999882
25,0.01994421559935,-0.530716342890891,1,0.690924989678565,0.139999999999873
