"run","MSE","NLPD","Coverage","Width","Time"
1,0.0341718159964707,-0.198055545263185,0.77,0.584755800850262,0.139999999955762
2,0.070921078747618,0.610173935230438,0.65,0.548349724013059,0.14000000001397
3,0.0257352989279955,-0.482674705549961,1,0.577730108500709,0.210000000020955
4,0.0176256669406647,-0.637430232016238,1,0.575673289207832,0.14000000001397
5,0.0118137442711436,-0.671665907055303,1,0.588028348794851,0.169999999983702
6,0.0165952533308467,-0.633423527484333,1,0.562334158366438,0.150000000023283
7,0.0302555349617989,-0.517797707652006,1,0.5831574808896,0.14000000001397
8,0.0244833360675463,-0.401730450478926,1,0.69488415716852,0.21999999997206
9,0.0255528448941029,-0.422979105860357,1,0.589084821243453,0.25
10,0.041200945304509,-0.538162903705354,0.99,0.566010279152661,0.169999999983702
11,0.0152769522244457,-0.849758907699059,1,0.464983563170944,0.229999999981374
12,0.0420300373242868,-0.174014242044734,0.83,0.52481200518796,0.200000000011642
13,0.0427553423170342,-0.312669274272222,0.92,0.572967149572169,0.169999999983702
14,0.057115269827966,-0.0936720514406995,0.84,0.65089706013396,0.160000000032596
15,0.0547830057038386,-0.0965501819167806,0.88,0.700610621667731,0.160000000032596
16,0.0487101727458428,-0.358125035104901,0.92,0.585596465635033,0.200000000011642
17,0.0176047768572928,-0.578268905724886,1,0.582625298072255,0.159999999974389
18,0.0449843734475133,-0.271088944091252,0.98,0.65603171995244,0.169999999983702
19,0.0453918621455609,0.00238906655392503,0.75,0.591737248226444,0.200000000011642
20,0.0217750609637214,-0.502345129141081,1,0.643418691823837,0.169999999983702
21,0.0291924731670155,-0.486799768395055,1,0.604385980957055,0.159999999974389
22,0.00709777451753272,-0.937080262756053,1,0.500803515928303,0.260000000009313
23,0.0200429452939317,-0.27547487193855,0.76,0.437331981031843,0.28000000002794
24,0.024658125202925,-0.486162014375994,1,0.595102985835592,0.159999999974389
25,0.0327043141420941,-0.11275184471664,0.77,0.673832252755438,0.199999999953434
