"run","MSE","NLPD","Coverage","Width","Time"
1,0.231570380195666,0.561862425922881,0.81,0.714960031783456,18.07
2,0.51101739192122,1.62608551340384,0.72,0.576375201266464,18.11
3,0.11283056097208,-0.408478423405355,0.94,0.645693875533409,18.06
4,0.205623549913505,-0.0110340481516732,0.86,0.678517324971614,18.05
5,0.139754392520358,-0.360913159242582,0.93,0.697679760644956,18.09
6,0.612095694024825,0.69682161355348,0.93,0.621608578179668,17.83
7,0.0664605248883,-0.621157321297243,0.95,0.666641275793983,17.95
8,0.310490522726106,0.453359211195363,0.82,0.732419937462966,18.08
9,0.649976922000332,1.08902215608551,0.93,0.682081588714306,18.05
10,0.187130365198642,-0.315640212590349,0.93,0.685713219695055,17.98
11,0.0527763022777285,-0.51320879188928,0.97,0.601856288387523,18.03
12,0.309942585670769,-0.232547963306305,0.96,0.637134076675779,18.11
13,0.291065879239401,-0.18687676091191,0.93,0.637963356306191,18.08
14,1.48300873309629,5.32071040110172,0.88,0.694849080887681,18.06
15,0.138090105317503,-0.117027546335987,0.97,0.734274240118297,18.1
16,1.45500522831838,7.07625772209755,0.91,0.62783846940625,18.04
17,0.147780982702714,-0.144141524927377,0.95,0.735968905860926,18.01
18,1.01920204773992,1.41181607517197,0.92,0.759721937060977,18.04
19,0.816336669912619,1.51311717782375,0.87,0.732413413106271,19.5599999999999
20,0.745961497637791,0.745880529220027,0.94,0.712432856033575,18.01
21,0.745961497647038,0.745880529246008,0.94,0.712432856033575,17.89
22,0.315412779831936,0.137664875386087,0.93,0.615072297883802,18
23,0.0903681806066488,0.835326015262619,0.66,0.601589157807778,17.98
24,0.604446789160257,1.19323216422708,0.89,0.640962422176983,17.9400000000001
25,0.96265890370608,2.57293063435097,0.52,0.746748344042229,20.7
