"run","MSE","NLPD","Coverage","Width","Time"
1,0.0601840238794225,0.422932903454998,0.7,0.67542892139954,18.1699999999998
2,0.0895611568023835,0.596606884436614,0.61,0.617685443069131,18.02
3,0.0354933911817033,-0.309845010626793,0.89,0.668819373819698,18.0700000000002
4,0.0280017315386759,-0.312653462806626,0.95,0.756425920748902,19.6700000000001
5,0.0309164811435636,-0.318717653112277,0.93,0.685797496240353,18.04
6,0.0253155644465225,-0.371407219374467,0.91,0.684948866723413,19.8700000000001
7,0.035508884598176,-0.247622029302095,0.91,0.669809443501641,18.47
8,0.0611514441877536,0.073356293276311,0.87,0.758123833487091,17.9599999999998
9,0.0256273171275984,-0.256675515888444,0.84,0.605320273879092,18.28
10,0.0573217449009848,0.00578491156550003,0.89,0.699250982023825,18.1399999999999
11,0.0415245382893515,-0.186586825650344,0.89,0.578546633171693,18.0300000000002
12,0.0767927964388275,0.3870119790186,0.78,0.625738980387995,18.1299999999999
13,0.0389700174287429,-0.333416458358062,0.93,0.650279630915676,18.2900000000002
14,0.0978504148097632,0.41933487449111,0.86,0.751660296644412,18.0800000000002
15,0.0887692236465862,0.499307289873487,0.79,0.722725142172896,18.1999999999998
16,0.0504771166636566,-0.287454054577858,0.94,0.663979259260014,18
17,0.0242831793787591,-0.450902909900324,0.96,0.683914277396808,18.23
18,0.0610365709537984,0.150670930660801,0.79,0.543603323708632,18.03
19,0.0860140030344374,0.454607452795114,0.74,0.646418850763709,18.3599999999999
20,0.102760899065318,0.592789509505928,0.81,0.73739314472116,18.25
21,0.0522782826495774,-0.0443635686908024,0.87,0.672095196966118,18.2
22,0.0216172461489883,-0.479805678549429,0.92,0.639818216877023,18
23,0.0638434841054233,1.17061402654306,0.61,0.539298824662227,18.0500000000002
24,0.0541879221236926,0.161935953073045,0.83,0.675693526263019,18.03
25,0.0731332941945035,0.248415725692831,0.78,0.648053262049661,18.0599999999999
