"run","MSE","NLPD","Coverage","Width","Time"
1,0.0120874589717841,-0.706607155496523,1,0.46027361148108,59.9318338
2,0.0438945540856025,0.211683453462733,0.8,0.407233397627489,21.0163061
3,0.0132024692876812,-0.798440413600739,0.88,0.424659263670964,44.9325048
4,0.0111915458378957,-0.803887823023285,1,0.566226390421013,89.6117773
5,0.00906483748772276,-0.892319083425756,1,0.546163187301173,45.7182598
6,0.019489430428553,-0.702083705136939,1,0.520308444550359,34.2817997
7,0.0306528861662867,-0.677101191805356,0.92,0.482428033897558,34.2090558
8,0.0175106091532422,-0.656184102819758,1,0.607157734932763,60.804731
9,0.0265681794624798,-0.446019887444607,0.91,0.480291547885584,34.6458977
10,0.0432093638035968,-0.661859390040754,0.88,0.461314147218083,46.5439491
11,0.0994988624268833,0.348989467983661,0.7,0.579442387185242,377.3870918
12,0.0437185417663402,-0.202176862584024,0.96,0.514808956787219,21.2804878
13,0.0349244478557089,-0.576583817006618,0.91,0.544030859475839,60.2009874
14,0.0166671083475938,-0.690891615515079,1,0.625819950851825,60.5550364
15,0.0317852321991721,-0.534617639562149,1,0.594865706845756,33.2412848
16,0.00858202932468914,-0.925781962475569,1,0.495953683120339,60.0615207
17,0.00299740887640313,-1.07004167777355,1,0.5080765386991,69.3406321
18,0.041740037925362,-0.421033927462422,0.93,0.560229180510963,38.5555811
19,0.0492819287338659,0.226659986414265,0.77,0.53706752210614,22.9178758
20,0.00694092970946276,-0.813444622652621,1,0.655748405734808,141.3915746
21,0.0284429774914706,-0.683087858120169,0.95,0.478462832927683,51.9339214
22,0.00810006701132452,-0.872038526140232,1,0.507475143514917,81.4007914
23,0.00887091599964012,-0.835253381534691,1,0.361359415824542,63.871346
24,0.00903757192064035,-0.962908223565587,1,0.472167457144895,52.0401542
25,0.0539174430174796,-0.182355191982592,0.91,0.663876256923596,256.4459556
