"run","MSE","NLPD","Coverage","Width","Time"
1,0.029241361477405,-0.351508110013152,1,0.644988740694368,26.5539105
2,0.0226990206723509,-0.413212056980137,0.97,0.609180329414104,44.3247129
3,0.0213947213905697,-0.471972596585429,1,0.570639581505741,26.8329041
4,0.0238317058889633,-0.492586949727614,1,0.615136685728807,45.9364615
5,0.0167088888637523,-0.544398020187127,1,0.670450899929249,39.1021633
6,0.0208695356804257,-0.608475100481378,1,0.599911320311403,22.6241187
7,0.0222308730089018,-0.617581983082772,1,0.608730671982445,36.9236378
8,0.0251820995670384,-0.555594167334523,1,0.704694841187423,37.4014133
9,0.034698934210652,-0.443173197196372,0.9,0.659151428376967,22.1108409
10,0.0228709435850091,-0.579902315547631,0.95,0.455297537349799,40.3384029
11,0.0172831424999719,-0.616878709216422,1,0.663354547245463,38.4593204
12,0.0206431697158378,-0.501575825177493,1,0.578655967164399,25.9612753
13,0.0205934910240052,-0.525460732660614,1,0.697320117488967,40.5977881
14,0.0148630814005978,-0.628531349887472,1,0.724357363408262,53.6392286
15,0.0309482117081526,-0.339463375111691,1,0.639767498985572,27.905817
16,0.0562875589491173,0.0178851428005012,0.91,0.58584464852427,33.403679
17,0.0182446225030809,-0.491911723997086,1,0.716424399270099,61.8557529
18,0.0523806306595986,-0.100248850647259,0.97,0.688018423579424,22.8682243
19,0.0193952378644401,-0.554628705555215,1,0.537287365522719,40.3191608
20,0.0424619053806807,-0.0143600303587996,0.83,0.658551889121858,21.7922664
21,0.045241952420698,-0.334255175694797,0.97,0.729492585726074,38.5082478
22,0.00917376608420623,-0.631214137485073,1,0.718098442321508,38.7132017
23,0.0770704741005746,0.344252921217076,0.75,0.720191628773656,26.241483
24,0.0340933429043373,-0.53084988178657,0.96,0.682364908876448,37.6265
25,0.0231909110995643,-0.553752686776111,0.93,0.570684643716336,37.8762928
