"run","MSE","NLPD","Coverage","Width","Time"
1,0.0465282012986209,-0.095064877529203,0.91,0.854495342977634,0.9997963
2,0.048065049878252,0.105199692855811,0.85,0.791421397085052,1.0309959
3,0.0585184620091925,-0.131793339027715,0.97,0.875744904487705,0.6407388
4,0.0375530177837666,-0.266549818433044,1,0.870143481950272,0.7283602
5,0.0423218006540702,-0.213139750510601,1,0.914016044554905,0.6404125
6,0.0218840323801292,-0.420759991692083,1,0.838371711109129,0.7506148
7,0.533599593279551,5.50722030828825,0.36,0.918772549955273,0.3060261
8,0.0302895875678786,-0.158535900537152,1,1.06941920374317,1.0238511
9,0.0674301490523638,-0.157843834505865,0.99,0.851799152466379,0.9699521
10,0.071741755398025,0.068090699179046,0.84,0.8343819031555,0.7114531
11,0.0881244271145217,0.0513930072953346,0.84,0.730887074760921,0.4080452
12,0.0817951630688513,-0.103996079027255,0.92,0.779092652702637,0.6287228
13,0.0412132993326919,-0.215351328598598,0.96,0.8816596988566,1.0963449
14,0.0762420434013125,0.252753118079758,0.85,1.00174927275611,0.3738355
15,0.0730891634811882,0.0897832584146597,0.96,1.06821584602818,0.6499661
16,0.150086742501443,0.327828146398003,0.9,0.955826416604388,0.4351004
17,0.103874257416466,0.243557690494326,0.93,0.912488079387709,0.3620414
18,0.0377023801811986,-0.211855374599699,1,0.952685772179367,0.7614301
19,0.111809432452772,0.228444240668473,0.85,0.890717961342893,0.6649153
20,0.0674063899867556,-0.0570506215847221,1,0.979358940364908,0.6261693
21,0.0290372138207768,-0.25875553428226,1,0.945333946263822,0.6620647
22,0.053591813286888,-0.156024077089637,1,0.784574878511155,0.5857081
23,0.0823941059393099,0.423798403259471,0.83,0.678630631610241,0.7293962
24,0.0932583241644637,0.341130462739342,0.86,0.853108666744401,0.7541347
25,0.105640394482512,0.209065475591287,0.9,1.02412687149513,0.5985182
