"run","MSE","NLPD","Coverage","Width","Time"
1,0.545097172998371,6.37539818920961,0.34,0.671901627579251,0.0474767
2,0.756140901164627,9.22692991098235,0.29,0.712255032369256,0.0334883
3,0.653505588829131,6.30622241870066,0.33,0.812226650918005,0.0424802
4,0.439697681625345,4.48000114532221,0.45,0.709625301710765,0.0313704
5,0.544554948000787,6.2450210749204,0.39,0.658361483319103,0.0470482
6,0.538336075866558,6.84797117685125,0.4,0.617179739463085,0.036818
7,0.594795360150956,6.93488983139317,0.38,0.651657281374492,0.0293353
8,0.400780491704029,3.48579578194964,0.49,0.747018610664309,0.0365111
9,0.634578528948866,4.94735048692611,0.44,0.749583728296418,0.0319358
10,0.584384751320647,7.18897925714136,0.39,0.593685774350102,0.0308785
11,0.377587780840578,3.30372547756461,0.49,0.752090308928671,0.0252927
12,0.569661194993507,6.58517003009629,0.42,0.615495977841288,0.0388166
13,0.589072998334601,7.62522534886671,0.39,0.580772809108115,0.0282531
14,0.674635632644515,7.41094217096774,0.38,0.655464183002206,0.0272366
15,0.52111435687918,5.38770890280146,0.42,0.702995217396941,0.0350462
16,0.756559033175988,9.78568794235567,0.35,0.591287201350302,0.0316683
17,0.524713141418565,5.2621722284202,0.4,0.731283570989565,0.025718
18,0.617631645907341,6.83753117790518,0.35,0.719712584711472,0.0245344
19,0.568602333440144,6.07924682658849,0.36,0.715411385417379,0.0293184
20,0.467920739319151,4.82601097574525,0.43,0.701287562314921,0.0255832
21,0.568508276923111,6.99149234745102,0.39,0.637452937405256,0.0296046
22,0.626053346601864,5.74869149131087,0.48,0.675586727247074,0.0262597
23,0.394334893458165,3.92418429651089,0.48,0.697190283397563,0.0383537
24,0.570644379039834,6.3909852282231,0.38,0.696705361156435,0.025969
25,0.96763835536584,12.9411009993938,0.18,0.499394385132476,0.0237526
