"run","MSE","NLPD","Coverage","Width","Time"
1,0.0238695089644251,-0.177557290850943,0.99,0.422838428138204,39.9899999999907
2,0.0364268275268851,0.157863573541865,0.75,0.397517496641659,39.3299999999581
3,0.0183026547533401,-0.822601729594332,1,0.435840777105734,39.7799999999697
4,0.0152954610957882,-0.954537009549075,1,0.426276490292608,39.210000000021
5,0.00947447947741611,-0.925615921056547,1,0.436020694785963,39.7799999999697
6,0.00844799958036719,-0.841111368739663,1,0.492554015945897,36.8699999999953
7,0.0219592437863788,-0.910941638507266,1,0.531799453585828,36.9400000000023
8,0.00938505185004985,-0.747635218549166,1,0.572240549647045,36.5299999999697
9,0.0266712385566549,-0.334557610607276,0.86,0.421248278913893,50
10,0.0380592604356697,-0.474464200824132,0.87,0.469735423788157,56.3500000000349
11,0.00721577226575511,-1.26645908196239,0.97,0.362304352709933,55.9400000000023
12,0.0326513197494902,-0.354169452968449,0.93,0.458672626517725,58.7000000000116
13,0.0187851750627013,-0.792365454072021,0.93,0.465373590119359,2386.31
14,0.0312537623930577,-0.49544575600956,0.95,0.555853138567569,53.140000000014
15,0.0157522833818196,-0.77008135550507,1,0.499773934591089,36.6500000000233
16,0.0187010543051569,-0.619187109694096,0.92,0.461459849217607,32.070000000007
17,0.0142230701218153,-0.962862359160471,1,0.429615654925276,35.5
18,0.0407160782847393,-0.153684503556873,0.8,0.494311701074582,35.4699999999721
19,0.0590484093046665,1.10265790207534,0.52,0.421524882131414,35.0900000000256
20,0.00901120370550518,-0.887673651108235,1,0.552199775611954,33.0599999999977
21,0.0224443653515314,-0.623660355946725,0.88,0.447679431056882,36.0499999999884
22,0.017932624516484,-0.584858627919807,0.86,0.445828104601057,33.1199999999953
23,0.0217648795715643,-0.184409112331154,0.82,0.350097849051098,35.039999999979
24,0.00968529998058589,-0.993122137867682,1,0.417343925034827,36.6900000000023
25,0.020524209870157,-0.540467950727709,0.86,0.502932814547453,37.5800000000163
