"run","MSE","NLPD","Coverage","Width","Time"
1,0.09784784672125,0.883841722982081,0.7,0.696081148807562,33.7399999999907
2,0.0699580102847827,0.641245313906856,0.68,0.608458227240087,34.3899999999558
3,0.0837632300809868,0.432411045216014,0.8,0.644925448484524,35.070000000007
4,0.0674507526368501,0.314017752832159,0.81,0.683601442789519,35.1199999999953
5,0.0411049393797945,-0.0680106461354052,0.88,0.673917043730785,35.25
6,0.0345527462001789,-0.453138494897035,0.92,0.622085602815812,35.5100000000093
7,0.0585798794791237,0.355737656999215,0.79,0.616654002593402,37.9000000000233
8,0.0472508092993278,-0.166894926876944,0.89,0.779229206065749,38.0900000000256
9,0.0876386648328608,0.391943214508901,0.71,0.626590525626451,35.3300000000163
10,0.0935512870845807,0.509156408028425,0.75,0.628102528202745,36.1300000000047
11,0.0930171024732574,0.927245613390025,0.71,0.523750548842083,35.5800000000163
12,0.0464604211326966,-0.171482576749099,0.84,0.584196756223167,35.9699999999721
13,0.0621679478618028,-0.0559786901004933,0.83,0.627061826978304,35.4699999999721
14,0.078160018227383,0.558208702090606,0.72,0.670069849177134,36.2599999999511
15,0.110708989815568,0.691547543004905,0.66,0.742083607218938,35.7200000000303
16,0.0874512252810284,0.626339240262776,0.65,0.620961559456867,35.2000000000116
17,0.0845480220505248,0.32267189779406,0.84,0.660588283313224,35.6699999999837
18,0.0494079445942105,0.0309686072724959,0.88,0.728408222541077,35.7199999999721
19,0.105429227288729,0.525368701463186,0.74,0.618713440366206,36.1700000000419
20,0.0687487109361417,-0.130802027616577,0.92,0.74856063432977,36.359999999986
21,0.0538803824600758,-0.116463229558793,0.88,0.654273206310799,35.640000000014
22,0.0797020583200743,0.240340727470738,0.81,0.62146426684521,36.1900000000023
23,0.0789778674668274,1.36525236718449,0.45,0.519170627191367,35.3300000000163
24,0.0589568389445949,0.296961330577086,0.75,0.642256926088286,35.7000000000116
25,0.209450789565765,1.1676302759356,0.66,0.714742090474186,35.3899999999558
