"func","method","MSE_mean","MSE_sd","NLPD_mean","NLPD_sd","Coverage_mean","Coverage_sd","Width_mean","Width_sd","Time_mean","Time_sd"
"cosh","AGP",1.94196825982705,0.246400924373243,4.99162490868527,1.05037841725869,0.5524,0.100551810857223,1.29309415919352,0.187880179054576,0.0916000000000008,0.0149108461642325
"parabola","AGP",0.0131616682731531,0.0102191116324212,-0.705191918426158,0.249026012725778,0.9768,0.0624312955709448,0.602742438049,0.0368821552898722,0.105199999999982,0.0227522892621237
"stepwise_convex","AGP",0.0264450834859961,0.0163307639799583,-0.40643702948063,0.309965333821972,0.9496,0.0916733330909267,0.70131964071506,0.0578734974522572,0.126000000000004,0.0138443731048728
"cosh","BSAM",0.488198739489045,0.414451154942541,0.922757651679632,1.79418882417487,0.8824,0.106703639425592,0.675717939833348,0.0522998701774534,18.1928,0.609600415572914
"parabola","BSAM",0.0160655829680375,0.0109176035019939,-0.672762260701903,0.263426595470446,0.9608,0.0621771662268392,0.534876507630533,0.0553443443661061,21.814,2.25501662965044
"stepwise_convex","BSAM",0.0553048291495284,0.0247810351758331,0.0633567339019952,0.422217747883709,0.84,0.0972967967955095,0.664033164834149,0.0586661045105076,18.2652,0.471037153524034
"cosh","GP",0.361132558667751,0.282758752786959,0.688190497189812,0.198665534916149,0.974,0.0210158670215308,2.37413382564021,0.24084822447186,0.0204000000000053,0.00888819441731571
"parabola","GP",0.0281893001975011,0.0179204495784117,0.319405421678604,0.0958296760808124,1,0,2.05168894111325,0.216467721019828,0.0227999999999929,0.00613731754650298
"stepwise_convex","GP",0.0485984301934844,0.0329547696507504,0.369537731136347,0.104565844835607,1,0,2.0850052067551,0.216065054238706,0.0179999999999927,0.00816496580928376
"cosh","SCAM",0.226116405094012,0.390009601600083,-0.310147886101345,0.371366803879415,0.9364,0.101442923196577,0.882809878921473,0.240778828716914,0.230799999999998,0.312862056930309
"parabola","SCAM",0.0150575338346233,0.0137827715849474,-0.768249106778958,0.431505237932125,0.9516,0.110328297971705,0.479644523887367,0.0448814846146888,0.0700000000000318,0.0357071421427123
"stepwise_convex","SCAM",0.060426518709621,0.0333120674342433,-0.0938780263612612,0.446125016552786,0.8968,0.100652868811574,0.748048904963721,0.0757171218619351,0.140400000000009,0.0747484670968656
