"metric","pair","test","p","effect","effect_name","p_holm"
"MSE","IP vs SR","paired t",0.000242082218366728,0.861359644086931,"Cohen_dz",0.00145249331020037
"MSE","IP vs CGP","Wilcoxon signed-rank",0.000769987729082085,0.675363485172298,"rank_biserial_r",0.00384993864541043
"MSE","IP vs BF","paired t",0.00145637112595406,0.718957039489838,"Cohen_dz",0.00582548450381622
"MSE","SR vs BF","paired t",0.0076266252172132,-0.582564849347143,"Cohen_dz",0.0228798756516396
"MSE","CGP vs BF","Wilcoxon signed-rank",0.0273583301561606,0.443964044037566,"rank_biserial_r",0.0547166603123213
"MSE","CGP vs SR","Wilcoxon signed-rank",0.628155653709986,0.0995555735114542,"rank_biserial_r",0.628155653709986
"NLPD","IP vs CGP","Wilcoxon signed-rank",0.000769987729082085,0.675363485172298,"rank_biserial_r",0.00461992637449251
"NLPD","CGP vs BF","Wilcoxon signed-rank",0.00282036559567996,0.600024132244711,"rank_biserial_r",0.0141018279783998
"NLPD","IP vs SR","Wilcoxon signed-rank",0.0221907163701582,0.460108191093478,"rank_biserial_r",0.0887628654806329
"NLPD","SR vs BF","paired t",0.11028793575614,-0.331643902310141,"Cohen_dz",0.33086380726842
"NLPD","IP vs BF","paired t",0.171526309411498,0.281891869280894,"Cohen_dz",0.343052618822995
"NLPD","CGP vs SR","Wilcoxon signed-rank",0.746783895972503,0.0672672793996313,"rank_biserial_r",0.746783895972503
"Coverage","IP vs CGP","Wilcoxon signed-rank",0.0832230814775737,0.42402554801527,"rank_biserial_r",0.499338488865442
"Coverage","CGP vs SR","Wilcoxon signed-rank",0.112173643778051,0.384066472766489,"rank_biserial_r",0.539201434340286
"Coverage","CGP vs BF","paired t",0.107840286868057,0.334072151442501,"Cohen_dz",0.539201434340286
"Coverage","IP vs SR","paired t",0.52011102690267,-0.13055335239254,"Cohen_dz",1
"Coverage","IP vs BF","paired t",0.527693830127786,-0.128169609994489,"Cohen_dz",1
"Coverage","SR vs BF","paired t",0.673465115128497,0.0853221918486092,"Cohen_dz",1
"Width","SR vs BF","paired t",5.12662749066992e-12,-2.50495725287085,"Cohen_dz",3.07597649440195e-11
"Width","IP vs SR","paired t",1.8406823290448e-05,1.06449891327837,"Cohen_dz",6.53530273900653e-05
"Width","IP vs BF","Wilcoxon signed-rank",1.30706054780131e-05,0.874474632195206,"rank_biserial_r",6.53530273900653e-05
"Width","CGP vs SR","paired t",1.30793231636728e-05,1.09170506789867,"Cohen_dz",6.53530273900653e-05
"Width","IP vs CGP","paired t",0.0144449526434775,-0.527376433331761,"Cohen_dz",0.028889905286955
"Width","CGP vs BF","paired t",0.0592975613293157,-0.395971685049752,"Cohen_dz",0.0592975613293157
"Time","IP vs BF","paired t",4.23814609111011e-08,1.57345583881764,"Cohen_dz",2.54288765466606e-07
"Time","IP vs CGP","Wilcoxon signed-rank",1.30706054780131e-05,0.874474632195206,"rank_biserial_r",6.53530273900653e-05
"Time","IP vs SR","Wilcoxon signed-rank",1.30706054780131e-05,0.874474632195206,"rank_biserial_r",6.53530273900653e-05
"Time","CGP vs BF","Wilcoxon signed-rank",1.30706054780131e-05,0.874474632195206,"rank_biserial_r",6.53530273900653e-05
"Time","SR vs BF","Wilcoxon signed-rank",1.30706054780131e-05,0.874474632195206,"rank_biserial_r",6.53530273900653e-05
"Time","CGP vs SR","Wilcoxon signed-rank",0.0596348300904598,0.37938745581392,"rank_biserial_r",0.0596348300904598
