"metric","pair","test","p","effect","effect_name","p_holm"
"MSE","CGP vs SR","paired t",2.25713431033984e-18,-4.84166395914239,"Cohen_dz",1.35428058620391e-17
"MSE","IP vs BF","paired t",3.93334434960872e-16,-3.86345643298367,"Cohen_dz",1.96667217480436e-15
"MSE","IP vs SR","Wilcoxon signed-rank",1.47752354163661e-05,0.869093249843236,"rank_biserial_r",5.22824219120523e-05
"MSE","CGP vs BF","Wilcoxon signed-rank",1.30706054780131e-05,0.874474632195206,"rank_biserial_r",5.22824219120523e-05
"MSE","IP vs CGP","Wilcoxon signed-rank",4.84577252569755e-05,0.815279426323531,"rank_biserial_r",8.63302319227537e-05
"MSE","SR vs BF","Wilcoxon signed-rank",4.31651159613768e-05,0.820660808675501,"rank_biserial_r",8.63302319227537e-05
"NLPD","CGP vs BF","paired t",3.62282615296167e-21,-6.38188213815397,"Cohen_dz",2.173695691777e-20
"NLPD","CGP vs SR","paired t",9.20540738654928e-16,-3.72051738908625,"Cohen_dz",4.60270369327464e-15
"NLPD","IP vs BF","Wilcoxon signed-rank",1.47752354163661e-05,0.869093249843236,"rank_biserial_r",5.91009416654642e-05
"NLPD","IP vs CGP","Wilcoxon signed-rank",2.39594001937852e-05,0.847567720435354,"rank_biserial_r",6.37622370952884e-05
"NLPD","IP vs SR","Wilcoxon signed-rank",2.12540790317628e-05,0.852949102787324,"rank_biserial_r",6.37622370952884e-05
"NLPD","SR vs BF","paired t",0.168571572067951,-0.283928229702563,"Cohen_dz",0.168571572067951
"Coverage","IP vs SR","Wilcoxon signed-rank",1.4696458058674e-05,0.869329298894669,"rank_biserial_r",7.63264073241741e-05
"Coverage","IP vs BF","Wilcoxon signed-rank",1.29766500214776e-05,0.874791356085416,"rank_biserial_r",7.63264073241741e-05
"Coverage","CGP vs SR","Wilcoxon signed-rank",1.29766500214776e-05,0.874791356085416,"rank_biserial_r",7.63264073241741e-05
"Coverage","CGP vs BF","Wilcoxon signed-rank",1.27210678873624e-05,0.875664124423387,"rank_biserial_r",7.63264073241741e-05
"Coverage","SR vs BF","Wilcoxon signed-rank",0.0108606947836652,0.503958006450035,"rank_biserial_r",0.0217213895673305
"Coverage","IP vs CGP","Wilcoxon signed-rank",0.0316144971505593,0.449182143685737,"rank_biserial_r",0.0316144971505593
"Width","CGP vs BF","paired t",6.20039384349969e-13,-2.76756005991052,"Cohen_dz",3.72023630609981e-12
"Width","CGP vs SR","paired t",1.11423961820086e-11,-2.41334360174121,"Cohen_dz",5.57119809100432e-11
"Width","IP vs CGP","paired t",1.15112871141946e-10,2.152241625221,"Cohen_dz",4.60451484567783e-10
"Width","IP vs BF","paired t",4.77303170732936e-07,-1.36282399718558,"Cohen_dz",1.43190951219881e-06
"Width","SR vs BF","Wilcoxon signed-rank",1.30706054780131e-05,0.874474632195206,"rank_biserial_r",2.61412109560261e-05
"Width","IP vs SR","paired t",0.414897249524155,-0.165935686680775,"Cohen_dz",0.414897249524155
"Time","IP vs BF","paired t",5.68955752683597e-10,1.98506045518624,"Cohen_dz",3.41373451610158e-09
"Time","IP vs CGP","Wilcoxon signed-rank",1.30706054780131e-05,0.874474632195206,"rank_biserial_r",6.53530273900653e-05
"Time","IP vs SR","Wilcoxon signed-rank",1.30706054780131e-05,0.874474632195206,"rank_biserial_r",6.53530273900653e-05
"Time","CGP vs BF","Wilcoxon signed-rank",1.30706054780131e-05,0.874474632195206,"rank_biserial_r",6.53530273900653e-05
"Time","SR vs BF","Wilcoxon signed-rank",1.30706054780131e-05,0.874474632195206,"rank_biserial_r",6.53530273900653e-05
"Time","CGP vs SR","paired t",0.946090136468406,0.0136657240360998,"Cohen_dz",0.946090136468406
