"metric","pair","test","p","effect","effect_name","p_holm"
"MSE","IP vs SR","paired t",1.32316952234475e-17,4.48365660122576,"Cohen_dz",7.93901713406851e-17
"MSE","IP vs CGP","Wilcoxon signed-rank",1.30706054780131e-05,0.874474632195206,"rank_biserial_r",6.53530273900653e-05
"MSE","IP vs BF","Wilcoxon signed-rank",1.30706054780131e-05,0.874474632195206,"rank_biserial_r",6.53530273900653e-05
"MSE","CGP vs BF","Wilcoxon signed-rank",1.30706054780131e-05,0.874474632195206,"rank_biserial_r",6.53530273900653e-05
"MSE","SR vs BF","Wilcoxon signed-rank",1.47752354163661e-05,0.869093249843236,"rank_biserial_r",6.53530273900653e-05
"MSE","CGP vs SR","Wilcoxon signed-rank",0.59048161734894,0.110318338215395,"rank_biserial_r",0.59048161734894
"NLPD","IP vs SR","paired t",1.13387359880159e-13,2.9940196629728,"Cohen_dz",6.80324159280954e-13
"NLPD","SR vs BF","paired t",3.14396404063747e-08,1.60034543004785,"Cohen_dz",1.57198202031873e-07
"NLPD","IP vs CGP","Wilcoxon signed-rank",1.30706054780131e-05,0.874474632195206,"rank_biserial_r",5.22824219120523e-05
"NLPD","IP vs BF","Wilcoxon signed-rank",1.30706054780131e-05,0.874474632195206,"rank_biserial_r",5.22824219120523e-05
"NLPD","CGP vs BF","Wilcoxon signed-rank",1.30706054780131e-05,0.874474632195206,"rank_biserial_r",5.22824219120523e-05
"NLPD","CGP vs SR","paired t",0.00464087008959223,0.624311978484855,"Cohen_dz",0.00464087008959223
"Coverage","IP vs CGP","paired t",1.23469046428078e-14,-3.3121298457206,"Cohen_dz",7.40814278568469e-14
"Coverage","SR vs BF","paired t",3.40716838764477e-08,-1.59308514239413,"Cohen_dz",1.70358419382238e-07
"Coverage","CGP vs BF","paired t",6.81242201995378e-07,-1.33287407922147,"Cohen_dz",2.72496880798151e-06
"Coverage","IP vs SR","Wilcoxon signed-rank",1.47489388014456e-05,0.869171911494285,"rank_biserial_r",3.89299500644329e-05
"Coverage","IP vs BF","Wilcoxon signed-rank",1.29766500214776e-05,0.874791356085416,"rank_biserial_r",3.89299500644329e-05
"Coverage","CGP vs SR","paired t",0.5786696199672,-0.112596253760809,"Cohen_dz",0.5786696199672
"Width","SR vs BF","paired t",2.26618616494651e-11,2.33172671319429,"Cohen_dz",1.35971169896791e-10
"Width","CGP vs BF","paired t",4.6353360247353e-07,1.36529866295081,"Cohen_dz",2.31766801236765e-06
"Width","IP vs BF","paired t",0.000104150332433244,0.927679052222707,"Cohen_dz",0.000416601329732977
"Width","IP vs SR","paired t",0.175199928457661,0.279398636618942,"Cohen_dz",0.525599785372984
"Width","IP vs CGP","paired t",0.380994944607391,0.178496907290209,"Cohen_dz",0.761989889214781
"Width","CGP vs SR","paired t",0.631578810995703,0.0971416852777369,"Cohen_dz",0.761989889214781
"Time","IP vs BF","paired t",5.64295893554388e-16,-3.80220489020084,"Cohen_dz",3.38577536132633e-15
"Time","IP vs CGP","Wilcoxon signed-rank",1.30706054780131e-05,0.874474632195206,"rank_biserial_r",6.5294156233614e-05
"Time","IP vs SR","Wilcoxon signed-rank",1.30706054780131e-05,0.874474632195206,"rank_biserial_r",6.5294156233614e-05
"Time","CGP vs BF","Wilcoxon signed-rank",1.30706054780131e-05,0.874474632195206,"rank_biserial_r",6.5294156233614e-05
"Time","SR vs BF","Wilcoxon signed-rank",1.30588312467228e-05,0.874514203868969,"rank_biserial_r",6.5294156233614e-05
"Time","CGP vs SR","Wilcoxon signed-rank",0.306561983055216,0.207183220550864,"rank_biserial_r",0.306561983055216
